allyBaronKills,allyDragonKills,allyInhibitorKills,allySide,allyTowerKills,assists,ccScore,champLevel,championClass,championID,championMastery,championName,damageToChampions,damageToObjectives,deaths,enemyBaronKills,enemyDragonKills,enemyInhibitorKills,enemyTowerKills,firstBaron,firstBlood,firstBloodAssist,firstBloodKill,firstDragon,firstInhibitor,firstInhibitorAssist,firstTower,firstTowerAssist,fiveMinuteGoldDelta,fiveMinuteXPDelta,goldEarned,kills,matchId,riftHerald,summonerName,totalHealed,visionScore,visionWardsPurchased,wardKills,win
0,1,0,Blue,1,0,9,10,Mage,None,35367,Viktor,4641,797,3,0,0,1,Red,6,None,Enemy,False,False,Ally,Enemy,False,Enemy,False,-27.5,-86.90000000000009,4697,0,3031182227,Enemy,4Head4Head4Head,279,3,1,0,0
0,3,2,Red,10,1,25,15,Fighter,None,140505,Renekton,21776,22498,4,0,0,0,Blue,0,None,Enemy,False,False,Ally,Ally,False,Ally,False,113.40000000000009,562.9000000000001,13284,14,3218910036,Ally,CSC MASTER NA,7779,9,0,0,1
0,1,0,Blue,3,3,272,14,Assassin,None,100076,Nocturne,11147,5775,8,1,2,1,Red,5,Enemy,Enemy,False,False,Enemy,Enemy,False,Ally,False,301.4000000000001,679.3,9837,3,3218868070,None,CSC MASTER NA,5743,8,1,2,0
2,3,2,Blue,9,7,191,18,Marksman,None,6725,Tristana,36919,12516,9,0,3,1,Red,7,Ally,Ally,False,False,Ally,Ally,False,Ally,False,253.70000000000005,659.0999999999999,17282,10,3218846248,Ally,CSC MASTER NA,4998,24,0,0,0
1,4,3,Blue,11,9,597,18,Assassin,None,37956,Khazix,30690,27872,6,1,1,0,Red,2,Ally,Ally,False,True,Enemy,Ally,False,Ally,False,7.5,-445.0999999999999,19627,17,3218862212,Enemy,CSC MASTER NA,21171,27,0,6,1
1,3,2,Red,8,5,905,16,Tank,None,61317,Singed,18840,4418,12,0,2,0,Blue,4,Ally,Ally,False,False,Ally,Ally,False,Enemy,False,242.5999999999999,330.20000000000005,11414,3,3218708303,Enemy,CSC MASTER NA,6750,5,0,2,1
0,2,0,Blue,2,1,54,14,Fighter,None,21481,Fiora,11720,6489,9,1,2,1,Red,9,Enemy,Enemy,False,False,Ally,Enemy,False,Enemy,False,383.79999999999995,107.79999999999995,8437,2,3217829446,Enemy,CSC MASTER NA,6193,7,0,0,0
1,3,3,Red,10,1,85,14,Fighter,None,12664,Warwick,6961,6778,4,0,0,0,Blue,1,Ally,Ally,False,True,Ally,Ally,False,Ally,False,-301.20000000000005,-105.09999999999991,10210,4,3217837874,Enemy,CSC MASTER NA,7622,8,0,0,1
0,2,0,Blue,3,2,83,11,Fighter,None,12664,Warwick,15220,2715,11,1,1,2,Red,7,Enemy,Ally,False,True,Ally,Enemy,False,Ally,False,-18.40000000000009,118.5,7729,3,3215578366,Ally,CSC MASTER NA,7381,3,0,1,0
0,3,1,Blue,7,7,187,16,Support,None,1344,Pyke,20390,1758,9,0,1,0,Red,1,None,Ally,False,False,Enemy,Ally,False,Ally,False,-159.9000000000001,532.7,13150,10,3214669140,None,CSC MASTER NA,8905,5,0,1,1
0,0,0,Blue,1,1,88,9,Support,None,1344,Pyke,3175,596,7,0,2,0,Red,5,None,Enemy,False,False,Enemy,None,None,Enemy,False,-279.79999999999995,-233.5999999999999,5768,2,3214650770,Enemy,CSC MASTER NA,1575,1,0,0,0
