allyBaronKills,allyDragonKills,allyInhibitorKills,allySide,allyTowerKills,assists,ccScore,champLevel,championClass,championID,championMastery,championName,damageToChampions,damageToObjectives,deaths,enemyBaronKills,enemyDragonKills,enemyInhibitorKills,enemyTowerKills,firstBaron,firstBlood,firstBloodAssist,firstBloodKill,firstDragon,firstInhibitor,firstInhibitorAssist,firstTower,firstTowerAssist,fiveMinuteGoldDelta,fiveMinuteXPDelta,goldEarned,kills,matchId,riftHerald,summonerName,totalHealed,visionScore,visionWardsPurchased,wardKills,win
0,3,0,Blue,4,9,638,14,Marksman,None,18807,Ashe,20446,9580,9,1,0,2,Red,9,Enemy,Ally,False,False,Ally,Enemy,False,Enemy,False,-305.5,-262.5999999999999,11747,7,3197037196,None,CE Detonator,1982,26,1,1,0
0,1,1,Blue,5,2,243,6,Marksman,None,18807,Ashe,2476,4970,0,0,0,0,Red,0,None,Ally,False,False,Ally,Ally,True,Ally,True,-345.70000000000005,-147.9000000000001,3952,1,3197044651,None,CE Detonator,440,5,0,0,1
0,1,0,Blue,7,10,420,11,Marksman,None,18807,Ashe,14045,14073,2,0,0,0,Red,0,None,Enemy,False,False,Ally,None,None,Ally,False,-98.79999999999995,-157.70000000000005,9555,9,3197004182,Ally,CE Detonator,295,8,0,0,1
1,3,1,Blue,10,12,823,16,Marksman,None,18807,Ashe,23185,9311,3,0,2,0,Red,2,Ally,Enemy,False,False,Ally,Ally,True,Ally,False,215.0,-295.5999999999999,14489,5,3196991391,Ally,CE Detonator,2371,48,4,3,1
0,1,0,Blue,2,2,49,14,Marksman,None,24912,Xayah,16328,1159,5,1,4,3,Red,8,Enemy,Enemy,False,False,Enemy,Enemy,False,Enemy,False,1.7999999999999545,-264.70000000000005,11519,5,3219694923,Ally,Erikku,2710,30,3,4,0
0,1,0,Red,1,7,41,11,Marksman,None,48688,Jinx,9812,5081,4,0,2,3,Blue,11,None,Ally,False,False,Enemy,Enemy,False,Enemy,False,-60.59999999999991,-544.7,8062,3,3219667052,Enemy,Erikku,2134,11,1,0,0
0,2,0,Blue,2,14,165,14,Support,None,83199,Thresh,10369,1994,10,1,3,4,Red,11,Enemy,Ally,False,False,Enemy,Enemy,False,Ally,True,59.59999999999991,-256.5,8742,2,3219402597,Enemy,Erikku,3019,41,3,10,0
1,4,2,Red,10,17,118,16,Support,None,83199,Thresh,8033,3449,5,0,0,0,Blue,2,Ally,Ally,False,True,Ally,Ally,False,Ally,False,208.5999999999999,-333.0,10487,5,3218289615,None,Erikku,4630,59,4,5,1
1,3,1,Blue,8,21,140,13,Support,None,355538,Janna,10819,1422,5,0,0,0,Red,1,Ally,Enemy,False,False,Ally,Ally,False,Ally,False,51.200000000000045,-90.59999999999991,8358,3,3217768484,None,Erikku,9680,62,5,5,1
1,5,4,Red,11,18,91,15,Support,None,83199,Thresh,11166,1821,10,0,0,0,Blue,3,Ally,Enemy,False,False,Ally,Ally,False,Ally,False,-132.5999999999999,-142.0999999999999,10437,3,3217733875,None,Erikku,6159,57,2,6,1
0,0,0,Red,3,2,142,12,Marksman,None,54212,Ezreal,10446,862,6,0,4,1,Blue,6,None,Ally,False,False,Enemy,Enemy,False,Enemy,False,-142.20000000000005,-44.90000000000009,7478,1,3212549270,Enemy,JayKayTea,12,8,0,1,0
1,3,2,Red,10,3,140,13,Fighter,None,72375,Udyr,8525,31928,1,0,0,0,Blue,0,Ally,Ally,False,False,Ally,Ally,True,Ally,False,40.200000000000045,367.4000000000001,10865,10,3197402577,Ally,JayKayTea,7880,19,3,4,1
1,2,2,Red,9,6,117,14,Fighter,None,72375,Udyr,6445,34601,5,0,1,0,Blue,1,Ally,Ally,False,False,Ally,Ally,True,Ally,False,595.3,633.3,9638,6,3197338403,Ally,JayKayTea,5917,8,0,0,1
